month,gx,gy,day_type,hour,avg_total_users,avg_users_under_10min,avg_users_10_30min,avg_users_over_30min,sex_1,sex_2,age_1,age_2,age_3,age_4,age_5,age_6,age_7,age_8,age_9,age_other,city_keelung,city_taipei,city_newtaipei,city_taoyuan,city_hsinchu_city,city_hsinchu_county,city_miaoli,city_taichung,city_changhua,city_nantou,city_yunlin,city_chiayi_city,city_chiayi_county,city_tainan,city_kaohsiung,city_pingtung,city_yilan,city_hualien,city_taitung,city_penghu,city_kinmen,city_lienchiang
202412,7167,7151,假日,3,21.89,6.44,2.89,12.56,65.18,34.82,0,4.77,4.69,8.35,6.94,5.81,9.07,8.95,10.33,41.08,72.61,4.14,8.9,1.33,0.4,0.4,0.48,1.56,0,0.41,0,0,0,1.85,4.77,0.48,1.28,0,0.38,1.01,0,0
202412,7168,7147,假日,3,9.22,0.33,0.44,8.44,52.12,47.88,1.01,4.36,7.84,4.82,5.18,9.63,10.68,8.61,15.12,32.77,88.72,1.11,8.69,0,0,0,0,0.74,0,0,0,0.74,0,0,0,0,0,0,0,0,0,0
202412,7168,7148,假日,3,32,10.11,2.67,19.22,54.68,45.32,0.37,3.36,5.21,7.61,8.97,6.53,12.6,14,11.66,29.68,83.57,4.86,7.35,2.09,0,0.33,0.32,0,0,0.52,0,0,0,0,0.64,0,0.33,0,0,0,0,0
202412,7168,7149,假日,3,31.89,16.56,4.78,10.56,63.09,36.91,0.56,4.74,5.32,16.43,5.07,5.07,6.68,17.39,14.74,24,76.71,4.42,12.49,1.9,0.52,0.26,0.26,0,0,0,0,0,0.26,0,0.6,0,1.71,0.26,0,0.34,0,0
202412,7169,7147,假日,3,11.89,3.78,1.22,6.89,54.55,45.45,0,0,7.55,5.19,24.39,13.86,7.44,9.35,11.01,21.22,83.06,1.86,8.21,0.85,0,0,0,1.01,0.58,0,0,0,0,1.01,2.71,0,0.69,0,0,0,0,0
202412,7169,7148,假日,3,6.78,0.78,0.89,5.11,41.11,58.89,1.85,0,3.24,3.87,6.3,3.24,5.64,17.79,9.97,48.09,92.7,0.93,4.06,0,0.93,0,0,0,0,0,0,0,0,1.39,0,0,0,0,0,0,0,0
202412,7165,7152,假日,4,18.56,0.67,4.44,13.44,56.18,43.82,2.35,2.24,5.65,4.5,10.19,4.82,10.54,9.58,13.65,36.49,67.66,2.66,12.18,3.18,1.8,1.3,0.79,3.96,0.99,0.51,0,0,0,1.23,0.51,0.48,2.05,0.69,0,0,0,0
202412,7165,7153,假日,4,69.44,22.33,12.44,34.67,62.82,37.18,0.18,3.22,5.7,6.99,7.72,7.58,7.42,10.4,13.25,37.55,67.92,5.69,15.45,4.09,0.84,0.88,0.31,0.89,0.35,0.15,0,0,0.47,0.85,1.02,0.16,0.76,0.16,0,0,0,0
202412,7165,7154,假日,4,54.22,17.11,9.33,27.78,61.79,38.21,1.59,4.57,5.27,5.52,8.09,5.89,8.64,12.4,12,36.03,68.59,7.28,11.05,4.12,0.26,0.94,0.74,1.06,0,0,0,0,0,1.25,1.21,0.21,2.08,0.45,0.61,0,0,0.15
202412,7166,7150,假日,4,13,0,1.67,11.33,49.78,50.22,1.85,4.7,9.1,5.51,5.74,3.86,6.98,13.53,12.26,36.47,85.48,2.4,5.97,0.65,0.65,0,0,1.18,0.62,0,0,0,0,0,2.45,0,0.58,0,0,0,0,0
202412,7166,7151,假日,4,19.67,6.56,2.89,10.22,55.03,44.97,3.22,1.87,3.14,3.76,6.09,8.06,12.06,15.11,13.6,33.09,74.87,2.89,8.86,4.59,0,0,0.51,0.44,0.44,0.85,0.65,0,0,0.36,4.14,0,0.51,0.89,0,0,0,0
202412,7166,7152,假日,4,27.22,10.22,4.22,12.78,67.55,32.45,2.16,6.15,2.79,2.73,5.38,4.67,14.78,17.08,7.1,37.14,65.17,2.66,14.15,4.39,0,0.43,0,4.01,0,0.43,0,0,0,1.54,4.11,1.24,1.1,0,0.4,0.38,0,0
202412,7166,7153,假日,4,21.89,5,2.89,14,60.19,39.81,1.51,3.77,4.62,8.02,6.1,4.51,9.72,13.79,12.94,35.03,69.69,5.02,10.56,3.12,1.35,1.42,0,2.42,0,0,0.58,0,0,1.09,0.41,1.01,0.41,1.48,0.51,0,0,0.93
202412,7167,7149,假日,4,35.89,1,4.11,30.78,48.76,51.24,0.81,3.62,5.25,4.74,10.08,6.3,7.69,16.95,9.27,35.29,86.86,1.88,2.85,0.87,0.27,0.8,0,1.98,0,0,0,3.7,0,0.54,0.24,0,0,0,0,0,0,0
202412,7167,7150,假日,4,45.44,27.56,4.11,13.78,64.46,35.54,0.73,2.96,4.88,3.1,2.54,8.67,5.91,11.85,17.08,42.27,76.12,4.46,13.37,1.77,0.15,0.81,0.18,0.55,0,0,0.19,0.17,0,0.15,1.13,0.33,0.32,0.31,0,0,0,0
202412,7167,7151,假日,4,20.44,6.78,1.78,11.89,62.27,37.73,0.97,5.06,4.86,11.97,4.55,8.58,7.08,9.02,17.13,30.78,75.81,1.14,9.04,1.54,0.48,0,0.56,0.93,0,0.44,0,0,0,6.06,2.98,0,0.56,0,0.46,0,0,0
202412,7168,7147,假日,4,9.33,0,1.33,8,50.19,49.81,0.79,4.56,8.44,7.8,4.5,9.36,10.31,8.22,9.61,36.4,85.17,2.02,8.32,0,1.23,0,0,1.01,1.23,0,0,1.01,0,0,0,0,0,0,0,0,0,0
202412,7168,7148,假日,4,31.33,9.33,3.56,18.44,55.76,44.24,0.31,3.31,5.45,10.62,8.91,7.91,11.71,12.5,9.67,29.6,80.55,5.8,9.73,1.56,0,0.31,0.28,0,0,0.54,0,0.27,0,0,0.36,0.28,0.31,0,0,0,0,0
